Year
Semiannual
averages Annual
avg.
Percent change
from previous
1st
half
2nd
half Dec. Annual
avg.
1913 - - 9.9 - -
1914 - - 10.0 1.0 1.0
1915 - - 10.1 2.0 1.0
1916 - - 10.9 12.6 7.9
1917 - - 12.8 18.1 17.4
1918 - - 15.1 20.4 18.0
1919 - - 17.3 14.5 14.6
1920 - - 20.0 2.6 15.6
1921 - - 17.9 -10.8 -10.5
1922 - - 16.8 -2.3 -6.1
1923 - - 17.1 2.4 1.8
1924 - - 17.1 .0 .0
1925 - - 17.5 3.5 2.3
1926 - - 17.7 -1.1 1.1
1927 - - 17.4 -2.3 -1.7
1928 - - 17.1 -1.2 -1.7
1929 - - 17.1 .6 .0
1930 - - 16.7 -6.4 -2.3
1931 - - 15.2 -9.3 -9.0
1932 - - 13.7 -10.3 -9.9
1933 - - 13.0 .8 -5.1
1934 - - 13.4 1.5 3.1
1935 - - 13.7 3.0 2.2
1936 - - 13.9 1.4 1.5
1937 - - 14.4 2.9 3.6
1938 - - 14.1 -2.8 -2.1
1939 - - 13.9 .0 -1.4
1940 - - 14.0 .7 .7
1941 - - 14.7 9.9 5.0
1942 - - 16.3 9.0 10.9
1943 - - 17.3 3.0 6.1
1944 - - 17.6 2.3 1.7
1945 - - 18.0 2.2 2.3
1946 - - 19.5 18.1 8.3
1947 - - 22.3 8.8 14.4
1948 - - 24.1 3.0 8.1
1949 - - 23.8 -2.1 -1.2
1950 - - 24.1 5.9 1.3
1951 - - 26.0 6.0 7.9
1952 - - 26.5 .8 1.9
1953 - - 26.7 .7 .8
1954 - - 26.9 -.7 .7
1955 - - 26.8 .4 -.4
1956 - - 27.2 3.0 1.5
1957 - - 28.1 2.9 3.3
1958 - - 28.9 1.8 2.8
1959 - - 29.1 1.7 .7
1960 - - 29.6 1.4 1.7
1961 - - 29.9 .7 1.0
1962 - - 30.2 1.3 1.0
1963 - - 30.6 1.6 1.3
1964 - - 31.0 1.0 1.3
1965 - - 31.5 1.9 1.6
1966 - - 32.4 3.5 2.9
1967 - - 33.4 3.0 3.1
1968 - - 34.8 4.7 4.2
1969 - - 36.7 6.2 5.5
