Year
Semiannual
averages Annual
avg.
Percent change
from previous
1st
half
2nd
half Dec. Annual
avg.
1970 - - 38.8 5.6 5.7
1971 - - 40.5 3.3 4.4
1972 - - 41.8 3.4 3.2
1973 - - 44.4 8.7 6.2
1974 - - 49.3 12.3 11.0
1975 - - 53.8 6.9 9.1
1976 - - 56.9 4.9 5.8
1977 - - 60.6 6.7 6.5
1978 - - 65.2 9.0 7.6
1979 - - 72.6 13.3 11.3
1980 - - 82.4 12.5 13.5
1981 - - 90.9 8.9 10.3
1982 - - 96.5 3.8 6.2
1983 - - 99.6 3.8 3.2
1984 102.9 104.9 103.9 3.9 4.3
1985 106.6 108.5 107.6 3.8 3.6
1986 109.1 110.1 109.6 1.1 1.9
1987 112.4 114.9 113.6 4.4 3.6
1988 116.8 119.7 118.3 4.4 4.1
1989 122.7 125.3 124.0 4.6 4.8
1990 128.7 132.6 130.7 6.1 5.4
1991 135.2 137.2 136.2 3.1 4.2
1992 139.2 141.4 140.3 2.9 3.0
1993 143.7 145.3 144.5 2.7 3.0
1994 147.2 149.3 148.2 2.7 2.6
1995 151.5 153.2 152.4 2.5 2.8
1996 155.8 157.9 156.9 3.3 3.0
1997 159.9 161.2 160.5 1.7 2.3
1998 162.3 163.7 163.0 1.6 1.6
1999 165.4 167.8 166.6 2.7 2.2
2000 170.8 173.6 172.2 3.4 3.4
2001 176.6 177.5 177.1 1.6 2.8
2002 178.9 180.9 179.9 2.4 1.6
2003 183.3 184.6 184.0 1.9 2.3
2004 187.6 190.2 188.9 3.3 2.7
2005 193.2 197.4 195.3 3.4 3.4
2006 200.6 202.6 201.6 2.5 3.2
2007 205.709 208.976 207.342 4.1 2.8
2008 214.429 216.177 215.303 .1 3.8
2009 213.139 215.935 214.537 2.7 -.4
2010 217.535 218.576 218.056 1.5 1.6
2011 223.598 226.280 224.939 3.0 3.2
2012 228.850 230.338 229.594 1.7 2.1
2013 232.366 233.548 232.957 1.5 1.5
2014 236.384 237.088 236.736 .8 1.6
2015 236.265 237.769 237.017 .7 .1
2016 R238.778 -- --
